canonical,alias
BEATRICE,TRIX
BEATRICE,TRIXIE
BEATRICE,TRIXY
GERTRUDE,TRUDY
VALERI,VALERIE
VALENTINA,VALLIE
SULLIVAN,VAN
EVANGELINE,VANGIE
VANESSA,VANNA
LAVEDA,VEDA
ALVENA,VENA
VERNON,VERN
LAVERNE,VERNA
LAVERNE,VERNON
ALVERTA,VERT
SYLVESTER,VESSIE
SILVESTER,VEST
SYLVESTER,VET
VICTORIA,VICKIE
VICTORIA,VICKY
VIC,VICTOR
VICKI,VICTORIA
LEVICY,VICY
VIJAY,VIJ
LAVINIA,VINA
VINCENT,VINCE
ALVERTA,VIRDIE
VIRGIL,VIRG
VIRGINIA,VIRGY
VIVIAN,VIV
YVONNE,VONNA
OSWALD,WALDO
WALLACE,WALLY
WASHINGTON,WASH
WEBSTER,WEB
WEBSTER,WEBB
WENDY,WEN
WESLEY,WES
WESTLEY,WEST
GILBERT,WILBER
WILL,WILBUR
WILLIAM,WILHELM
MINNIE,WILHELMINA
WILHEMINA,WILLIE
WILLIAM,WILLY
WILHELMINA,WILMA
WINIFRED,WINNET
WINIFRED,WINNIE
WINIFRED,WINNY
WINTON,WINT
WOODROW,WOOD
HENRIETTA,YETTA
YOSHIHIKO,YOSHI
YULAN,YUL
ZACHARIAH,ZACHARY
ZACHARIAH,ZACK
ALZADA,ZADA
ARZADA,ZADDI
ISAIAH,ZADIE
MELCHIZEDEK,ZADOCK
ISAIAH,ZAY
ZEBEDEE,ZEB
ZEDEDIAH,ZED
BEZALEEL,ZEELY
GRISELDA,ZELDA
ZEPHANIAH,ZEPH
SOLOMON,ZOLLY
